  1  2 26 16      0.25      0.00      0.00      0.00     26.96     -7.25    437.33     23.49     23.38     -0.25      0.00      0.00-871739.79      0.00
  2  2 26 16     -0.25      0.00       NaN       NaN     26.96     -7.25    437.33     23.49     23.38     -0.25       NaN       NaN      0.00       NaN
  3  2 26 16     -0.75    -30.86    308.65      0.00     26.88     -7.25    437.33     23.49     23.38     -0.25      6.10      0.00      0.00      0.00
  4  2 26 16     -1.25    -28.76    287.62      0.00     26.81     -7.25    437.33     23.49     23.38     -0.25      0.88      0.00      0.00      0.00
  5  2 26 16     -1.75    -26.79    267.91      0.00     26.73     -7.25    437.33     23.49     23.38     -0.25      0.88      0.00      0.00      0.00
  6  2 26 16     -2.25    -24.93    249.34      0.00     26.65     -7.25    437.33     23.49     23.38     -0.25      0.88      0.00      0.00      0.00
  7  2 26 16     -2.75    -23.18    231.77      0.00     26.58     -7.25    437.33     23.49     23.38     -0.25      0.88      0.00      0.00      0.00
  8  2 26 16     -3.25    -21.51    215.09      0.00     26.50     -7.25    437.33     23.49     23.38     -0.25      0.89      0.00      0.00      0.00
  9  2 26 16     -3.75    -19.93    199.25      0.00     26.42     -7.25    437.33     23.49     23.38     -0.25      0.89      0.00      0.00      0.00
 10  2 26 16     -4.25    -18.42    184.24      0.00     26.35     -7.25    437.33     23.49     23.38     -0.25      0.90      0.00      0.00      0.00
 11  2 26 16     -4.75    -17.00    169.98      0.00     26.27     -7.25    437.33     23.49     23.38     -0.25      0.91      0.00      0.00      0.00
 12  2 26 16     -5.25    -15.64    156.38      0.00     26.19     -7.25    437.33     23.49     23.38     -0.25      0.92      0.00      0.00      0.00
 13  2 26 16     -5.75    -14.34    143.35      0.00     26.12     -7.25    437.33     23.49     23.38     -0.25      0.94      0.00      0.00      0.00
 14  2 26 16     -6.25    -13.08    130.78      0.00     26.04     -7.25    437.33     23.49     23.38     -0.25      0.96      0.00      0.00      0.00
 15  2 26 16     -6.75    -11.85    118.51      0.00     25.12     -7.25    437.33     23.49     23.38     -0.25      1.00      0.00      0.00      0.00
 16  2 26 16     -7.25    437.33    106.28      0.00     23.38     -7.25    437.33     23.49     23.38     -0.25      1.05      0.00      0.00      0.00
 17  2 26 16     -7.75     -9.38     93.76      0.00     21.62     -7.25    437.33     23.49     23.38     -0.25      1.12      0.00      0.00      0.00
 18  2 26 16     -8.25     -8.08     80.79      0.00     19.88     -7.25    437.33     23.49     23.38     -0.25      1.23      0.00      0.00      0.00
 19  2 26 16     -8.75     -6.74     67.36      0.00     18.97     -7.25    437.33     23.49     23.38     -0.25      1.41      0.00      0.00      0.00
 20  2 26 16     -9.25     -5.38     53.84      0.00     18.92     -7.25    437.33     23.49     23.38     -0.25      1.69      0.00      0.00      0.00
 21  2 26 16     -9.75     -4.10     40.95      0.00     18.87     -7.25    437.33     23.49     23.38     -0.25      2.16      0.00      0.00      0.00
 22  2 26 16    -10.25     -2.97     29.71      0.00     18.82     -7.25    437.33     23.49     23.38     -0.25      2.91      0.00      0.00      0.00
 23  2 26 16    -10.75     -2.12     21.19      0.00     18.76     -7.25    437.33     23.49     23.38     -0.25      4.00      0.00      0.00      0.00
 24  2 26 16    -11.25     -1.61     16.05      0.00     18.71     -7.25    437.33     23.49     23.38     -0.25      5.18      0.00      0.00      0.00
 25  2 26 16    -11.75     -1.39     13.85      0.00     18.66     -7.25    437.33     23.49     23.38     -0.25      5.91      0.00      0.00      0.00
 26  2 26 16    -12.25   -129.29   1292.95      0.00     18.61     -7.25    437.33     23.49     23.38     -0.25      6.12      0.00      0.00      0.00
  1  2 25 16      0.25      0.00      0.00      0.00     26.96     -7.25    429.84     23.56     23.38     -0.25      0.00      0.00-875498.96      0.00
  2  2 25 16     -0.25      0.00       NaN       NaN     26.96     -7.25    429.84     23.56     23.38     -0.25       NaN       NaN      0.00       NaN
  3  2 25 16     -0.75    -31.09    310.91      0.00     26.88     -7.25    429.84     23.56     23.38     -0.25      6.10      0.00      0.00      0.00
  4  2 25 16     -1.25    -28.94    289.45      0.00     26.81     -7.25    429.84     23.56     23.38     -0.25      0.86      0.00      0.00      0.00
  5  2 25 16     -1.75    -26.93    269.29      0.00     26.73     -7.25    429.84     23.56     23.38     -0.25      0.86      0.00      0.00      0.00
